paper_id,region,first_author,year,doi,paper_category,citations,depletion_claim,claim_sign,classifier_method
406,north_china_plain,Rui Zhang,2024,10.1007/s10291-024-01794-5,mascon,5,"GWSA trends: -2.56±0.33 mm/yr (2011-2017), -4.72±1.74 mm/yr (2018-2020), 11.76±4.18 mm/yr (2021-2022)",depleting,regex
407,north_china_plain,Yalin Ma,2024,10.1029/2023wr036105,own-SHM,5,unconfined GW depletion rate in PP (−41.80 ± 0.55 mm/yr) about 6 times larger than that in ECP (−7.57 ± 0.60 mm/yr),depleting,regex
408,north_china_plain,Shaoyi Lu,2024,10.1038/s41598-024-67611-8,mascon,5,,,empty
409,north_china_plain,Karen An,2015,,downstream-use,4,-2.03 cm/yr water loss for 2002-2014,depleting,regex
410,north_china_plain,Jiancheng Han,2024,10.1038/s43247-024-01209-w,downstream-use,3,,,empty
411,north_china_plain,Bowen Zhu,2016,10.5194/hess-2016-313,own-SHM,2,water storage deficit of up to 25 km3 (~22 mm),depleting,regex
412,north_china_plain,X. Mo,2015,10.5194/nhessd-3-3251-2015,downstream-use,2,TWS decreased linearly in the Huai River basin (−0.56 cm yr−1),depleting,regex
413,north_china_plain,Chuanxun Yang,2022,10.3389/fenvs.2022.840540,mascon,2,,,empty
414,north_china_plain,Chenxu Zhu,2023,10.3390/w15132343,own-SHM,2,"TWS in the North China Plain from 2002 to 2015 was (−8.48 ± 1.87) Gt/a, and from 2015 to 2019 increased to (5.44 ± 4.87) Gt/a",depleting,regex
415,north_china_plain,Vibhor Agarwal,2025,10.2139/ssrn.5105505,own-SHM,2,NCP lost -5.3 ± 0.6 km3 yr-1 of GWS from 2005 to 2013,depleting,regex
416,north_china_plain,Tao Chen,2025,10.1093/gji/ggaf407,mascon,1,,,empty
417,north_china_plain,Shoaib Ali,2025,10.1007/s41748-025-00976-6,mascon,1,"groundwater depletion in the Piedmont Plain and East-Central Plain, with most severe losses in Shijiazhuang (−17.08 mm/yr), Xingtai (−16.67 mm/yr), and Handan (−16.02 mm/yr)",depleting,regex
418,north_china_plain,Hao Zhang,2025,10.1111/gwat.13497,mascon,1,GWS recovery in the NCP occurred in December 2020,recovering,regex
419,north_china_plain,Jifei Li,2025,10.3390/rs17162785,mascon,1,average annual reduction of −17.27 ± 1.4 mm/yr,depleting,regex
420,north_china_plain,Linsong Wang,2016,10.5194/hess-2016-552-supplement,own-SHM,0,,,empty
421,north_china_plain,Vibhor Agarwal,2025,10.2139/ssrn.5105509,own-SHM,0,NCP lost -5.3 ± 0.6 km3 yr-1 of GWS from 2005 to 2013,depleting,regex
422,north_china_plain,Xincheng Wang,2025,10.3390/rs17193336,mascon,0,"groundwater storage in the NCP exhibited a declining trend, with an average reduction of −3.81 ± 0.53 km3/a",depleting,regex
423,north_china_plain,Yijun Li,2026,10.1016/j.ejrh.2026.103103,mascon,0,GWSA decline of -17.81 ± 3.31 mm/yr,depleting,regex
424,north_china_plain,Tingye Tao,2026,10.3390/w18030357,mascon,0,"GWSC declined at an average rate of -1.99 ± 0.13 cm/yr from 2003 to 2020, then recovered at 2.99 ± 1.64 cm/yr from 2021 to 2024",mixed,regex
425,north_china_plain,Zhenyue Han,2026,10.1029/2025wr042085,downstream-use,0,declining trend of 15.48 mm/yr in the NCP from 2003 to 2023,depleting,regex
427,seed-untagged,K. Voss,2013,10.1002/wrcr.20078,own-SHM,785,groundwater loss of 17.3±2.1 mm/yr equivalent water height,depleting,regex
